,SOA,alphaAvg,cue_side,cue_type,elec_cluster,thisSubCat
0,long,2.026789189019216,right,target,contra,WhiteBear
1,long,2.0840126901136053,right,target,ipsi,WhiteBear
2,long,1.1678964600185409,left,target,ipsi,WhiteBear
3,long,0.873864894600067,left,target,contra,WhiteBear
4,long,0.5805716565487538,right,distractor,contra,WhiteBear
5,long,0.42148664400645086,right,distractor,ipsi,WhiteBear
6,long,1.8226881345032353,left,distractor,ipsi,WhiteBear
7,long,1.0852262898780216,left,distractor,contra,WhiteBear
8,long,0.9020349226490633,right,target,contra,DisCueUser
9,long,0.40249896480818287,right,target,ipsi,DisCueUser
10,long,1.228912735437967,left,target,ipsi,DisCueUser
11,long,0.7175302328179803,left,target,contra,DisCueUser
12,long,-0.1499691084816414,right,distractor,contra,DisCueUser
13,long,-0.5199946239103116,right,distractor,ipsi,DisCueUser
14,long,2.3277578789650155,left,distractor,ipsi,DisCueUser
15,long,1.5354431736927883,left,distractor,contra,DisCueUser
16,long,-1.698282058993324,right,target,contra,TarCueUser
17,long,-1.7504537403702825,right,target,ipsi,TarCueUser
18,long,-0.479150529435995,left,target,ipsi,TarCueUser
19,long,-0.1374329147836941,left,target,contra,TarCueUser
20,long,0.023329618826727475,right,distractor,contra,TarCueUser
21,long,-0.23641005488085834,right,distractor,ipsi,TarCueUser
22,long,0.28476715131203056,left,distractor,ipsi,TarCueUser
23,long,0.15611335919835978,left,distractor,contra,TarCueUser
