,SOA,alphaAvg,cue_side,cue_type,elec_cluster,thisSubCat
0,long,-0.566234359790042,right,target,contra,WhiteBear
1,long,0.600188771190699,right,target,ipsi,WhiteBear
2,long,0.33227842220207754,left,target,ipsi,WhiteBear
3,long,0.10006217152616104,left,target,contra,WhiteBear
4,long,0.9115034166006983,right,distractor,contra,WhiteBear
5,long,0.9338689944605778,right,distractor,ipsi,WhiteBear
6,long,0.5764418645747718,left,distractor,ipsi,WhiteBear
7,long,0.5285384815983859,left,distractor,contra,WhiteBear
8,long,-0.8574246527624654,right,target,contra,DisCueUser
9,long,-0.7208301328244399,right,target,ipsi,DisCueUser
10,long,0.5417813193957582,left,target,ipsi,DisCueUser
11,long,0.5673688870033113,left,target,contra,DisCueUser
12,long,-0.0012148662181691759,right,distractor,contra,DisCueUser
13,long,-0.29342506930348167,right,distractor,ipsi,DisCueUser
14,long,1.3978168843064849,left,distractor,ipsi,DisCueUser
15,long,1.2116394598924023,left,distractor,contra,DisCueUser
16,long,-0.8574246527624654,right,target,contra,TarCueUser
17,long,-0.7208301328244399,right,target,ipsi,TarCueUser
18,long,0.5417813193957582,left,target,ipsi,TarCueUser
19,long,0.5673688870033113,left,target,contra,TarCueUser
20,long,-0.0012148662181691759,right,distractor,contra,TarCueUser
21,long,-0.29342506930348167,right,distractor,ipsi,TarCueUser
22,long,1.3978168843064849,left,distractor,ipsi,TarCueUser
23,long,1.2116394598924023,left,distractor,contra,TarCueUser
