,SOA,alphaAvg,cue_side,cue_type,elec_cluster,thisSubCat
0,long,1.7029432752810036,right,target,contra,WhiteBear
1,long,1.6097468375494273,right,target,ipsi,WhiteBear
2,long,1.3576107875744252,left,target,ipsi,WhiteBear
3,long,1.3003243333395582,left,target,contra,WhiteBear
4,long,0.1305957571867572,right,distractor,contra,WhiteBear
5,long,0.6647788504023177,right,distractor,ipsi,WhiteBear
6,long,1.6688990093787628,left,distractor,ipsi,WhiteBear
7,long,1.2602547650198148,left,distractor,contra,WhiteBear
8,long,-1.35953161852264,right,target,contra,DisCueUser
9,long,-1.1273730378816347,right,target,ipsi,DisCueUser
10,long,-0.5375236749083052,left,target,ipsi,DisCueUser
11,long,-0.2224515619477818,left,target,contra,DisCueUser
12,long,0.16978887744778287,right,distractor,contra,DisCueUser
13,long,-0.21587450239716988,right,distractor,ipsi,DisCueUser
14,long,0.7137263332881885,left,distractor,ipsi,DisCueUser
15,long,0.5112206866613753,left,distractor,contra,DisCueUser
16,long,-1.565488569212837,right,target,contra,TarCueUser
17,long,-1.3039409771242778,right,target,ipsi,TarCueUser
18,long,-0.4272399803534006,left,target,ipsi,TarCueUser
19,long,-0.06847066730607869,left,target,contra,TarCueUser
20,long,0.27077027641263146,right,distractor,contra,TarCueUser
21,long,-0.07283382513370995,right,distractor,ipsi,TarCueUser
22,long,0.8015364861319133,left,distractor,ipsi,TarCueUser
23,long,0.6599735803942132,left,distractor,contra,TarCueUser
