,SOA,alphaAvg,cue_side,cue_type,elec_cluster,thisSubCat
0,long,-1.300490082324933,right,target,contra,WhiteBear
1,long,-1.1049390596224709,right,target,ipsi,WhiteBear
2,long,-0.6533998602733669,left,target,ipsi,WhiteBear
3,long,-0.37323409046445116,left,target,contra,WhiteBear
4,long,-0.27912588851482234,right,distractor,contra,WhiteBear
5,long,-0.2309937500104061,right,distractor,ipsi,WhiteBear
6,long,-0.1774886336195973,left,distractor,ipsi,WhiteBear
7,long,-0.03311973063918837,left,distractor,contra,WhiteBear
8,long,1.0346215973682316,right,target,contra,DisCueUser
9,long,0.40015312776588274,right,target,ipsi,DisCueUser
10,long,1.3502173794900063,left,target,ipsi,DisCueUser
11,long,1.1580312178022725,left,target,contra,DisCueUser
12,long,1.0376450017841181,right,distractor,contra,DisCueUser
13,long,0.4324722224890724,right,distractor,ipsi,DisCueUser
14,long,2.362807084889098,left,distractor,ipsi,DisCueUser
15,long,1.6126921234941278,left,distractor,contra,DisCueUser
16,long,1.0346215973682316,right,target,contra,TarCueUser
17,long,0.40015312776588274,right,target,ipsi,TarCueUser
18,long,1.3502173794900063,left,target,ipsi,TarCueUser
19,long,1.1580312178022725,left,target,contra,TarCueUser
20,long,1.0376450017841181,right,distractor,contra,TarCueUser
21,long,0.4324722224890724,right,distractor,ipsi,TarCueUser
22,long,2.362807084889098,left,distractor,ipsi,TarCueUser
23,long,1.6126921234941278,left,distractor,contra,TarCueUser
