block,trialNum,trial_type,dis_PresentorAbsent,corrResp,subResp,trialCorr?,RT,"stim_loc(T,D)",ITI,"Tar,Dis,Other",trial_trigs,triggers
0,0,neut,Absent,rshift,lshift,0,1.815174504978586,"('11', 'noDis')",2.6,"('green_circle', 'noDis', 'green_diamond')",None,
0,1,neut,Absent,lshift,lshift,1,1.631911635771985,"('1', 'noDis')",2.5,"('green_circle', 'noDis', 'green_diamond')",None,
0,2,dis,Present,lshift,lshift,1,1.8984520989904468,"('9', '1')",1.7,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,3,neut,Absent,lshift,None,nan,nan,"('3', 'noDis')",2.1,"('green_circle', 'noDis', 'green_diamond')",None,
0,4,neut,Absent,rshift,None,nan,nan,"('9', 'noDis')",2.2,"('green_diamond', 'noDis', 'green_circle')",None,
0,5,neut,Absent,rshift,lshift,0,1.0321036035991256,"('11', 'noDis')",1.9,"('green_diamond', 'noDis', 'green_circle')",None,
0,6,neut,Present,lshift,lshift,1,1.3652896888831947,"('1', '9')",2.6,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,7,neut,Absent,rshift,lshift,0,1.0654349158810419,"('7', 'noDis')",2.2,"('green_diamond', 'noDis', 'green_circle')",None,
0,8,neut,Present,lshift,lshift,1,1.4153501760720246,"('11', '5')",1.4,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,9,neut,Present,rshift,lshift,0,0.815434033675956,"('1', '5')",2.2,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,10,neut,Absent,lshift,lshift,1,1.7152155355354353,"('11', 'noDis')",2.5,"('green_diamond', 'noDis', 'green_circle')",None,
0,11,neut,Absent,lshift,lshift,1,0.8655496987830702,"('1', 'noDis')",2.1,"('green_diamond', 'noDis', 'green_circle')",None,
0,12,neut,Present,lshift,lshift,1,1.1986767565263108,"('11', '5')",1.7,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,13,dis,Present,rshift,lshift,0,0.7988867534179462,"('1', '9')",2.2,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,14,dis,Present,lshift,lshift,1,1.0487323675272364,"('5', '7')",2.4,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,15,dis,Present,rshift,lshift,0,0.8321567925461295,"('11', '1')",2.0,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,16,neut,Absent,lshift,lshift,1,1.798508528036109,"('9', 'noDis')",2.6,"('green_circle', 'noDis', 'green_diamond')",None,
